Ice Nucleation Version;1.4.10.27;;;;;;;;
;;;;;;;;;
Sample:;;;;;;;;;
Label;Calibration_3;;;;;;;;
Operator;MRJ;;;;;;;;
Date;2021_07_22_12-44;;;;;;;;
PCR type;24x16;;;;;;;;
;;;;;;;;;
Sample volume [µL];1,00;;;;;;;;
Temperature Gradient [°C/min];1,00;;;;;;;;
Target Temperature [°C] ;-10,00;;;;;;;;
Starting Temp [°C];6,520604;;;;;;;;
Ending Temp [°C];6,527244;;;;;;;;
Test Duration [mm:ss];27:13;;;;;;;;
;;;;;;;;;
PID setup:;;;;;;;;;
Proportional Gain;1,000000;;;;;;;;
Integral time (min);0,010000;;;;;;;;
Derivative time (min);0,000000;;;;;;;;
;;;;;;;;;
Calibration Values:;;;;;;;;;
B0_100;3976,000000;3976,000000;3976,000000;3976,000000;3976,000000;3976,000000;3976,000000;3976,000000;
R25;2,252000;2,252000;2,252000;2,252000;2,252000;2,252000;2,252000;2,252000;
R_S;10,000000;;;;;;;;
;;;;;;;;;
Notes:;;;;;;;;;
Thermistor 1,2,3,4 inserted into calibrator;;;;;;;;;
Thermistor 8: reference voltage;;;;;;;;;
AMETEK Calibrator;;;;;;;;;
SN: 660141-00935;;;;;;;;;
