Ice Nucleation Version;1.4.11.87;;;;;;;;
;;;;;;;;;
Sample:;;;;;;;;;
Label;Calibration_29;;;;;;;;
Operator;MRJ;;;;;;;;
Date;2021_08_19_13-44;;;;;;;;
PCR type;24x16;;;;;;;;
;;;;;;;;;
Sample volume [µL];1,00;;;;;;;;
Temperature Gradient [°C/min];-1,00;;;;;;;;
Target Temperature [°C] ;5,00;;;;;;;;
Starting Temp [°C];18,201542;;;;;;;;
Ending Temp [°C];21,191574;;;;;;;;
Test Duration [mm:ss];21:40;;;;;;;;
;;;;;;;;;
PID setup:;;;;;;;;;
Proportional Gain;1,000000;;;;;;;;
Integral time (min);0,010000;;;;;;;;
Derivative time (min);0,000000;;;;;;;;
;;;;;;;;;
Calibration Values:;;;;;;;;;
B0_100;3711,100000;3750,100000;3743,800000;3749,400000;3976,000000;3976,000000;3976,000000;3976,000000;
R25;2,321600;2,265200;2,263400;2,263400;2,252000;2,252000;2,252000;2,252000;
R_S;10,000000;;;;;;;;
;;;;;;;;;
Notes:;;;;;;;;;
Thermistor 1,5,6,7,8 inserted into calibrator;;;;;;;;;
Thermistor 2: reference voltage;;;;;;;;;
AMETEK Calibrator;;;;;;;;;
SN: 660141-00935;;;;;;;;;
