Ice Nucleation Version;1.4.11.87;;;;;;;;
;;;;;;;;;
Sample:;;;;;;;;;
Label;Calibration_7;;;;;;;;
Operator;MRJ;;;;;;;;
Date;2021_07_22_16-03;;;;;;;;
PCR type;24x16;;;;;;;;
;;;;;;;;;
Sample volume [µL];1,00;;;;;;;;
Temperature Gradient [°C/min];1,00;;;;;;;;
Target Temperature [°C] ;-30,00;;;;;;;;
Starting Temp [°C];-5,726412;;;;;;;;
Ending Temp [°C];-5,773809;;;;;;;;
Test Duration [mm:ss];09:18;;;;;;;;
;;;;;;;;;
PID setup:;;;;;;;;;
Proportional Gain;1,000000;;;;;;;;
Integral time (min);0,010000;;;;;;;;
Derivative time (min);0,000000;;;;;;;;
;;;;;;;;;
Calibration Values:;;;;;;;;;
B0_100;3743,800000;3742,000000;3736,200000;3741,000000;3976,000000;3976,000000;3976,000000;3976,000000;
R25;2,293600;2,298100;2,293800;2,296600;2,252000;2,252000;2,252000;2,252000;
R_S;10,000000;;;;;;;;
;;;;;;;;;
Notes:;;;;;;;;;
Thermistor 1,2,3,4 inserted into calibrator;;;;;;;;;
Thermistor 8: reference voltage;;;;;;;;;
AMETEK Calibrator;;;;;;;;;
SN: 660141-00935;;;;;;;;;
